fl in [1,2]	 delta = 2^-52
1.0000000000000002	 0011111111110000000000000000000000000000000000000000000000000001
1.0000000000000004	 0011111111110000000000000000000000000000000000000000000000000010
1.0000000000000007	 0011111111110000000000000000000000000000000000000000000000000011
1.0000000000000009	 0011111111110000000000000000000000000000000000000000000000000100
1.000000000000001	 0011111111110000000000000000000000000000000000000000000000000101
1.0000000000000013	 0011111111110000000000000000000000000000000000000000000000000110
1.0000000000000016	 0011111111110000000000000000000000000000000000000000000000000111
1.0000000000000018	 0011111111110000000000000000000000000000000000000000000000001000
1.000000000000002	 0011111111110000000000000000000000000000000000000000000000001001
1.0000000000000022	 0011111111110000000000000000000000000000000000000000000000001010
1.0000000000000024	 0011111111110000000000000000000000000000000000000000000000001011
1.0000000000000027	 0011111111110000000000000000000000000000000000000000000000001100
1.0000000000000029	 0011111111110000000000000000000000000000000000000000000000001101
1.000000000000003	 0011111111110000000000000000000000000000000000000000000000001110
1.0000000000000033	 0011111111110000000000000000000000000000000000000000000000001111
1.0000000000000036	 0011111111110000000000000000000000000000000000000000000000010000
1.0000000000000038	 0011111111110000000000000000000000000000000000000000000000010001
1.000000000000004	 0011111111110000000000000000000000000000000000000000000000010010
1.0000000000000042	 0011111111110000000000000000000000000000000000000000000000010011
1.0000000000000044	 0011111111110000000000000000000000000000000000000000000000010100
1.0000000000000047	 0011111111110000000000000000000000000000000000000000000000010101
1.0000000000000049	 0011111111110000000000000000000000000000000000000000000000010110
1.000000000000005	 0011111111110000000000000000000000000000000000000000000000010111
1.0000000000000053	 0011111111110000000000000000000000000000000000000000000000011000
1.0000000000000056	 0011111111110000000000000000000000000000000000000000000000011001
1.0000000000000058	 0011111111110000000000000000000000000000000000000000000000011010
1.000000000000006	 0011111111110000000000000000000000000000000000000000000000011011
1.0000000000000062	 0011111111110000000000000000000000000000000000000000000000011100
1.0000000000000064	 0011111111110000000000000000000000000000000000000000000000011101
1.0000000000000067	 0011111111110000000000000000000000000000000000000000000000011110
1.0000000000000069	 0011111111110000000000000000000000000000000000000000000000011111
1.000000000000007	 0011111111110000000000000000000000000000000000000000000000100000
1.0000000000000073	 0011111111110000000000000000000000000000000000000000000000100001
1.0000000000000075	 0011111111110000000000000000000000000000000000000000000000100010
1.0000000000000078	 0011111111110000000000000000000000000000000000000000000000100011
1.000000000000008	 0011111111110000000000000000000000000000000000000000000000100100
1.0000000000000082	 0011111111110000000000000000000000000000000000000000000000100101
1.0000000000000084	 0011111111110000000000000000000000000000000000000000000000100110
1.0000000000000087	 0011111111110000000000000000000000000000000000000000000000100111
1.0000000000000089	 0011111111110000000000000000000000000000000000000000000000101000
1.000000000000009	 0011111111110000000000000000000000000000000000000000000000101001
1.0000000000000093	 0011111111110000000000000000000000000000000000000000000000101010
