x = 8^-1	 f(x) = 0.0077822185373186414	 g(x) = 0.0077822185373187065
x = 8^-2	 f(x) = 0.00012206286282867573	 g(x) = 0.00012206286282875901
x = 8^-3	 f(x) = 1.9073468138230965e-6	 g(x) = 1.907346813826566e-6
x = 8^-4	 f(x) = 2.9802321943606103e-8	 g(x) = 2.9802321943606116e-8
x = 8^-5	 f(x) = 4.656612873077393e-10	 g(x) = 4.6566128719931904e-10
x = 8^-6	 f(x) = 7.275957614183426e-12	 g(x) = 7.275957614156956e-12
x = 8^-7	 f(x) = 1.1368683772161603e-13	 g(x) = 1.1368683772160957e-13
x = 8^-8	 f(x) = 1.7763568394002505e-15	 g(x) = 1.7763568394002489e-15
x = 8^-9	 f(x) = 0.0	 g(x) = 2.7755575615628914e-17
x = 8^-10	 f(x) = 0.0	 g(x) = 4.336808689942018e-19
x = 8^-11	 f(x) = 0.0	 g(x) = 6.776263578034403e-21
x = 8^-12	 f(x) = 0.0	 g(x) = 1.0587911840678754e-22
x = 8^-13	 f(x) = 0.0	 g(x) = 1.6543612251060553e-24
x = 8^-14	 f(x) = 0.0	 g(x) = 2.5849394142282115e-26
x = 8^-15	 f(x) = 0.0	 g(x) = 4.0389678347315804e-28
x = 8^-16	 f(x) = 0.0	 g(x) = 6.310887241768095e-30
x = 8^-17	 f(x) = 0.0	 g(x) = 9.860761315262648e-32
x = 8^-18	 f(x) = 0.0	 g(x) = 1.5407439555097887e-33
x = 8^-19	 f(x) = 0.0	 g(x) = 2.407412430484045e-35
x = 8^-20	 f(x) = 0.0	 g(x) = 3.76158192263132e-37
x = 8^-21	 f(x) = 0.0	 g(x) = 5.877471754111438e-39
x = 8^-22	 f(x) = 0.0	 g(x) = 9.183549615799121e-41
x = 8^-23	 f(x) = 0.0	 g(x) = 1.4349296274686127e-42
x = 8^-24	 f(x) = 0.0	 g(x) = 2.2420775429197073e-44
x = 8^-25	 f(x) = 0.0	 g(x) = 3.503246160812043e-46
x = 8^-26	 f(x) = 0.0	 g(x) = 5.473822126268817e-48
x = 8^-27	 f(x) = 0.0	 g(x) = 8.552847072295026e-50
x = 8^-28	 f(x) = 0.0	 g(x) = 1.3363823550460978e-51
x = 8^-29	 f(x) = 0.0	 g(x) = 2.088097429759528e-53
x = 8^-30	 f(x) = 0.0	 g(x) = 3.2626522339992623e-55
x = 8^-31	 f(x) = 0.0	 g(x) = 5.0978941156238473e-57
x = 8^-32	 f(x) = 0.0	 g(x) = 7.965459555662261e-59
x = 8^-33	 f(x) = 0.0	 g(x) = 1.2446030555722283e-60
x = 8^-34	 f(x) = 0.0	 g(x) = 1.9446922743316068e-62
x = 8^-35	 f(x) = 0.0	 g(x) = 3.0385816786431356e-64
x = 8^-36	 f(x) = 0.0	 g(x) = 4.7477838728798994e-66
x = 8^-37	 f(x) = 0.0	 g(x) = 7.418412301374843e-68
x = 8^-38	 f(x) = 0.0	 g(x) = 1.1591269220898192e-69
